glyph_name,ps_name,sort_final,sort_g,sort_ssp
Rcommaaccent,uni0156,1171,2171,172
Rdotbelow,uni1E5A,1172,2172,173
Rdotbelowmacron,uni1E5C,1173,2173,174
Rlinebelow,uni1E5E,1174,2174,175
Sacute,Sacute,1175,2175,176
Scaron,Scaron,1176,2176,177
Scedilla,uni015E,1177,2177,178
Scommaaccent,uni0218,1178,2178,179
Scircumflex,Scircumflex,1179,2179,180
Sdotaccent,uni1E60,1180,2180,181
Sdotbelow,uni1E62,1181,2181,182
Germandbls,uni1E9E,1182,2182,183
Tcaron,Tcaron,1183,2183,184
Tcedilla,uni0162,1184,2184,185
Tcommaaccent,uni021A,1185,2185,186
Tdotbelow,uni1E6C,1186,2186,187
Tlinebelow,uni1E6E,1187,2187,188
Ugrave,Ugrave,1188,2188,189
Uacute,Uacute,1189,2189,190
Ucircumflex,Ucircumflex,1190,2190,191
Udieresis,Udieresis,1191,2191,192
Umacron,Umacron,1192,2192,193
Uring,Uring,1193,2193,194
Uhungarumlaut,Uhungarumlaut,1194,2194,195
Uogonek,Uogonek,1195,2195,196
Ubreve,Ubreve,1196,2196,197
Ucaron,uni01D3,1197,2197,198
Udieresisacute,uni01D7,1198,2198,199
Udieresiscaron,uni01D9,1199,2199,200
Udieresisgrave,uni01DB,1200,2200,201
Udieresismacron,uni01D5,1201,2201,202
Udotbelow,uni1EE4,1202,2202,203
Uhoi,uni1EE6,1203,2203,204
Uhorn,Uhorn,1204,2204,205
Uhornacute,uni1EE8,1205,2205,206
Uhorndotbelow,uni1EF0,1206,2206,207
Uhorngrave,uni1EEA,1207,2207,208
Uhornhoi,uni1EEC,1208,2208,209
Uhorntilde,uni1EEE,1209,2209,210
Utilde,Utilde,1210,2210,211
Wacute,Wacute,1211,2211,212
Wcircumflex,Wcircumflex,1212,2212,213
Wdieresis,Wdieresis,1213,2213,214
Wgrave,Wgrave,1214,2214,215
Yacute,Yacute,1215,2215,216
Ydieresis,Ydieresis,1216,2216,217
Ycircumflex,Ycircumflex,1217,2217,218
Ydotaccent,uni1E8E,1218,2218,219
Ydotbelow,uni1EF4,1219,2219,220
Ygrave,Ygrave,1220,2220,221
Yhoi,uni1EF6,1221,2221,222
Ytilde,uni1EF8,1222,2222,223
Zacute,Zacute,1223,2223,224
Zcaron,Zcaron,1224,2224,225
Zdotaccent,Zdotaccent,1225,2225,226
Zdotbelow,uni1E92,1226,2226,227
Eth,Eth,1227,2227,228
Thorn,Thorn,1228,2228,229
Schwa,uni018F,1229,2229,230
agrave,agrave,1230,2230,231
aacute,aacute,1231,2231,232
acircumflex,acircumflex,1232,2232,233
atilde,atilde,1233,2233,234
adieresis,adieresis,1234,2234,235
amacron,amacron,1235,2235,236
abreve,abreve,1236,2236,237
abreveacute,uni1EAF,1237,2237,238
abrevedotbelow,uni1EB7,1238,2238,239
abrevegrave,uni1EB1,1239,2239,240
abrevehoi,uni1EB3,1240,2240,241
abrevetilde,uni1EB5,1241,2241,242
acaron,uni01CE,1242,2242,243
acircumflexacute,uni1EA5,1243,2243,244
acircumflexdotbelow,uni1EAD,1244,2244,245
acircumflexgrave,uni1EA7,1245,2245,246
acircumflexhoi,uni1EA9,1246,2246,247
acircumflextilde,uni1EAB,1247,2247,248
adotbelow,uni1EA1,1248,2248,249
ahoi,uni1EA3,1249,2249,250
aring,aring,1250,2250,251
aogonek,aogonek,1251,2251,252
ae,ae,1252,2252,253
ccedilla,ccedilla,1253,2253,254
cacute,cacute,1254,2254,255
ccaron,ccaron,1255,2255,256
ccircumflex,ccircumflex,1256,2256,257
cdotaccent,cdotaccent,1257,2257,258
dcaron,dcaron,1258,2258,259
dcroat,dcroat,1259,2259,260
ddotbelow,uni1E0D,1260,2260,261
dlinebelow,uni1E0F,1261,2261,262
egrave,egrave,1262,2262,263
eacute,eacute,1263,2263,264
ecircumflex,ecircumflex,1264,2264,265
ecaron,ecaron,1265,2265,266
edieresis,edieresis,1266,2266,267
emacron,emacron,1267,2267,268
edotaccent,edotaccent,1268,2268,269
eogonek,eogonek,1269,2269,270
ebreve,ebreve,1270,2270,271
ecircumflexacute,uni1EBF,1271,2271,272
ecircumflexdotbelow,uni1EC7,1272,2272,273
ecircumflexgrave,uni1EC1,1273,2273,274
ecircumflexhoi,uni1EC3,1274,2274,275
ecircumflextilde,uni1EC5,1275,2275,276
edotbelow,uni1EB9,1276,2276,277
ehoi,uni1EBB,1277,2277,278
etilde,uni1EBD,1278,2278,279
gbreve,gbreve,1279,2279,280
gdotaccent,gdotaccent,1280,2280,281
gcommaaccent,uni0123,1281,2281,282
gcaron,gcaron,1282,2282,283
gcircumflex,gcircumflex,1283,2283,284
gmacron,uni1E21,1284,2284,285
gtilde,uni00670303,1285,2285,286
hbar,hbar,1286,2286,287
hbrevebelow,uni1E2B,1287,2287,288
hcircumflex,hcircumflex,1288,2288,289
hdotbelow,uni1E25,1289,2289,290
igrave,igrave,1290,2290,291
iacute,iacute,1291,2291,292
icircumflex,icircumflex,1292,2292,293
idieresis,idieresis,1293,2293,294
imacron,imacron,1294,2294,295
iogonek,iogonek,1295,2295,296
i.trk,i.trk,1296,2296,297
icaron,uni01D0,1297,2297,298
idotbelow,uni1ECB,1298,2298,299
ihoi,uni1EC9,1299,2299,300
itilde,itilde,1300,2300,301
dotlessi,dotlessi,1301,2301,302
dotlessj,uni0237,1302,2302,303
jcircumflex,jcircumflex,1303,2303,304
kcommaaccent,uni0137,1304,2304,305
kgreenlandic,kgreenlandic,1305,2305,306
lacute,lacute,1306,2306,307
lcaron,lcaron,1307,2307,308
lcommaaccent,uni013C,1308,2308,309
ldot,ldot,1309,2309,310
ldotbelow,uni1E37,1310,2310,311
ldotbelowmacron,uni1E39,1311,2311,312
llinebelow,uni1E3B,1312,2312,313
lslash,lslash,1313,2313,314
macute,uni1E3F,1314,2314,315
mdotbelow,uni1E43,1315,2315,316
nacute,nacute,1316,2316,317
ncaron,ncaron,1317,2317,318
ngrave,uni01F9,1318,2318,319
ntilde,ntilde,1319,2319,320
ncommaaccent,uni0146,1320,2320,321
ndotaccent,uni1E45,1321,2321,322
napostrophe,napostrophe,1322,2322,323
ndotbelow,uni1E47,1323,2323,324
nlinebelow,uni1E49,1324,2324,325
ograve,ograve,1325,2325,326
oacute,oacute,1326,2326,327
obreve,uni014F,1327,2327,328
ocircumflex,ocircumflex,1328,2328,329
otilde,otilde,1329,2329,330
odieresis,odieresis,1330,2330,331
omacron,omacron,1331,2331,332
ohungarumlaut,ohungarumlaut,1332,2332,333
ocaron,uni01D2,1333,2333,334
ocircumflexacute,uni1ED1,1334,2334,335
ocircumflexdotbelow,uni1ED9,1335,2335,336
ocircumflexgrave,uni1ED3,1336,2336,337
ocircumflexhoi,uni1ED5,1337,2337,338
ocircumflextilde,uni1ED7,1338,2338,339
odotbelow,uni1ECD,1339,2339,340
ohoi,uni1ECF,1340,2340,341
ohorn,ohorn,1341,2341,342
ohornacute,uni1EDB,1342,2342,343
ohorndotbelow,uni1EE3,1343,2343,344
ohorngrave,uni1EDD,1344,2344,345
ohornhoi,uni1EDF,1345,2345,346
ohorntilde,uni1EE1,1346,2346,347
oslash,oslash,1347,2347,348
oe,oe,1348,2348,349
racute,racute,1349,2349,350
rcommaaccent,uni0157,1350,2350,351
rcaron,rcaron,1351,2351,352
rdotbelow,uni1E5B,1352,2352,353
rdotbelowmacron,uni1E5D,1353,2353,354
rlinebelow,uni1E5F,1354,2354,355
sacute,sacute,1355,2355,356
scaron,scaron,1356,2356,357
scedilla,uni015F,1357,2357,358
scommaaccent,uni0219,1358,2358,359
scircumflex,scircumflex,1359,2359,360
sdotaccent,uni1E61,1360,2360,361
sdotbelow,uni1E63,1361,2361,362
longs,longs,1362,2362,363
germandbls,germandbls,1363,2363,364
tcaron,tcaron,1364,2364,365
tcedilla,uni0163,1365,2365,366
tcommaaccent,uni021B,1366,2366,367
tdieresis,uni1E97,1367,2367,368
tdotbelow,uni1E6D,1368,2368,369
tlinebelow,uni1E6F,1369,2369,370
ugrave,ugrave,1370,2370,371
uacute,uacute,1371,2371,372
ucircumflex,ucircumflex,1372,2372,373
udieresis,udieresis,1373,2373,374
umacron,umacron,1374,2374,375
uring,uring,1375,2375,376
uhungarumlaut,uhungarumlaut,1376,2376,377
uogonek,uogonek,1377,2377,378
ubreve,ubreve,1378,2378,379
ucaron,uni01D4,1379,2379,380
udieresisacute,uni01D8,1380,2380,381
udieresiscaron,uni01DA,1381,2381,382
udieresisgrave,uni01DC,1382,2382,383
udieresismacron,uni01D6,1383,2383,384
udotbelow,uni1EE5,1384,2384,385
uhoi,uni1EE7,1385,2385,386
uhorn,uhorn,1386,2386,387
uhornacute,uni1EE9,1387,2387,388
uhorndotbelow,uni1EF1,1388,2388,389
uhorngrave,uni1EEB,1389,2389,390
uhornhoi,uni1EED,1390,2390,391
uhorntilde,uni1EEF,1391,2391,392
utilde,utilde,1392,2392,393
wacute,wacute,1393,2393,394
wcircumflex,wcircumflex,1394,2394,395
wdieresis,wdieresis,1395,2395,396
wgrave,wgrave,1396,2396,397
yacute,yacute,1397,2397,398
ydieresis,ydieresis,1398,2398,399
ycircumflex,ycircumflex,1399,2399,400
ydotaccent,uni1E8F,1400,2400,401
ydotbelow,uni1EF5,1401,2401,402
ygrave,ygrave,1402,2402,403
yhoi,uni1EF7,1403,2403,404
ytilde,uni1EF9,1404,2404,405
zacute,zacute,1405,2405,406
zcaron,zcaron,1406,2406,407
zdotaccent,zdotaccent,1407,2407,408
zdotbelow,uni1E93,1408,2408,409
eth,eth,1409,2409,410
thorn,thorn,1410,2410,411
schwa,uni0259,1411,2411,412
alphalatin,uni0251,1412,2412,413
gscript,uni0261,1413,2413,414
f_i,f_i,1414,2414,415
f_l,f_l,1415,2415,416
f_t,f_t,1416,2416,417
f_f,f_f,1417,2417,418
f_f_i,f_f_i,1418,2418,419
f_f_l,f_f_l,1419,2419,420
ampersand,ampersand,1420,2420,421
zero,zero,1421,2421,422
one,one,1422,2422,423
two,two,1423,2423,424
three,three,1424,2424,425
four,four,1425,2425,426
five,five,1426,2426,427
six,six,1427,2427,428
seven,seven,1428,2428,429
eight,eight,1429,2429,430
nine,nine,1430,2430,431
period,period,1431,2431,474
comma,comma,1432,2432,475
colon,colon,1433,2433,476
semicolon,semicolon,1434,2434,477
ellipsis,ellipsis,1435,2435,478
exclam,exclam,1436,2436,479
exclamdown,exclamdown,1437,2437,480
question,question,1438,2438,482
questiondown,questiondown,1439,2439,483
quotesingle,quotesingle,1440,2440,485
quotedbl,quotedbl,1441,2441,486
quoteleft,quoteleft,1442,2442,487
quoteright,quoteright,1443,2443,488
quotedblleft,quotedblleft,1444,2444,489
quotedblright,quotedblright,1445,2445,490
quotesinglbase,quotesinglbase,1446,2446,491
quotedblbase,quotedblbase,1447,2447,492
guilsinglleft,guilsinglleft,1448,2448,493
guilsinglright,guilsinglright,1449,2449,494
guillemotleft,guillemotleft,1450,2450,495
guillemotright,guillemotright,1451,2451,496
hyphen,hyphen,1452,2452,497
sfthyphen,uni00AD,1453,2453,498
hyphentwo,uni2010,1454,2454,499
endash,endash,1455,2455,500
emdash,emdash,1456,2456,501
figuredash,figuredash,1457,2457,502
horizontalbar,uni2015,1458,2458,503
periodcentered,periodcentered,1459,2459,504
bullet,bullet,1460,2460,505
underscore,underscore,1461,2461,506
parenleft,parenleft,1462,2462,507
parenright,parenright,1463,2463,508
bracketleft,bracketleft,1464,2464,509
bracketright,bracketright,1465,2465,510
braceleft,braceleft,1466,2466,511
braceright,braceright,1467,2467,512
slash,slash,1468,2468,528
bar,bar,1469,2469,529
backslash,backslash,1470,2470,530
brokenbar,brokenbar,1471,2471,531
asterisk,asterisk,1472,2472,532
dagger,dagger,1473,2473,533
daggerdbl,daggerdbl,1474,2474,534
section,section,1475,2475,535
paragraph,paragraph,1476,2476,536
copyright,copyright,1477,2477,537
registered,registered,1478,2478,539
trademark,trademark,1479,2479,540
at,at,1480,2480,542
numbersign,numbersign,1481,2481,544
ordfeminine,ordfeminine,1482,2482,613
ordmasculine,ordmasculine,1483,2483,614
degree,degree,1484,2484,669
currency,currency,1485,2485,670
dollar,dollar,1486,2486,671
cent,cent,1487,2487,672
sterling,sterling,1488,2488,673
yen,yen,1489,2489,674
florin,uni0192,1490,2490,675
colonmonetary,colonmonetary,1491,2491,676
lira,lira,1492,2492,677
naira,uni20A6,1493,2493,678
peseta,peseta,1494,2494,679
won,uni20A9,1495,2495,680
dong,dong,1496,2496,681
Euro,Euro,1497,2497,682
tugrik,uni20AE,1498,2498,683
peso,uni20B1,1499,2499,684
guarani,uni20B2,1500,2500,685
hryvnia,uni20B4,1501,2501,686
cedi,uni20B5,1502,2502,687
rupeeindian,uni20B9,1503,2503,688
liraturkish,uni20BA,1504,2504,689
tenge,uni20B8,1505,2505,690
ruble,uni20BD,1506,2506,691
bitcoin,uni20BF,1507,2507,692
fraction,fraction,1508,2508,693
divisionslash,uni2215,1509,2509,694
slash.frac,slash.frac,1510,2510,695
nbspace,uni00A0,1511,2511,696
figurespace,uni2007,1512,2512,697
space.frac,space.frac,1513,2513,698
nbspace.frac,uni00A0.frac,1514,2514,699
percent,percent,1515,2515,700
perthousand,perthousand,1516,2516,701
onequarter,onequarter,1517,2517,702
onehalf,onehalf,1518,2518,703
threequarters,threequarters,1519,2519,704
onethird,onethird,1520,2520,705
twothirds,twothirds,1521,2521,706
oneeighth,oneeighth,1522,2522,707
threeeighths,threeeighths,1523,2523,708
fiveeighths,fiveeighths,1524,2524,709
seveneighths,seveneighths,1525,2525,710
plus,plus,1526,2526,711
minus,minus,1527,2527,712
multiply,multiply,1528,2528,713
divide,divide,1529,2529,714
bulletoperator,uni2219,1530,2530,715
equal,equal,1531,2531,716
less,less,1532,2532,717
greater,greater,1533,2533,718
lessequal,lessequal,1534,2534,719
greaterequal,greaterequal,1535,2535,720
plusminus,plusminus,1536,2536,721
asciicircum,asciicircum,1537,2537,722
notequal,notequal,1538,2538,723
asciitilde,asciitilde,1539,2539,724
approxequal,approxequal,1540,2540,725
logicalnot,logicalnot,1541,2541,726
infinity,infinity,1542,2542,727
mu.math,uni00B5,1543,2543,728
partialdiff,partialdiff,1544,2544,729
integral,integral,1545,2545,730
radical,radical,1546,2546,731
Delta.math,uni2206,1547,2547,732
Omega.math,uni2126,1548,2548,733
summation,summation,1549,2549,734
product,product,1550,2550,735
litre,uni2113,1551,2551,736
estimated,estimated,1552,2552,737
arrowleft,uni2190,1553,2553,738
arrowupleft,uni2196,1554,2554,739
arrowup,arrowup,1555,2555,740
arrowupright,uni2197,1556,2556,741
arrowright,uni2192,1557,2557,742
arrowdownright,uni2198,1558,2558,743
arrowdown,arrowdown,1559,2559,744
arrowdownleft,uni2199,1560,2560,745
squareblack,uni25A0,1561,2561,746
diamondblack,uni25C6,1562,2562,747
fisheye,uni25C9,1563,2563,748
squareshadow,uni2752,1564,2564,749
triangleblackup,triagup,1565,2565,750
trianglewhiteup,uni25B3,1566,2566,751
triangleblackright,uni25B6,1567,2567,752
trianglewhiteright,uni25B7,1568,2568,753
triangleblackdown,triagdn,1569,2569,754
trianglewhitedown,uni25BD,1570,2570,755
triangleblackleft,uni25C0,1571,2571,756
trianglewhiteleft,uni25C1,1572,2572,757
checkbox,uni2610,1573,2573,758
checkedbox,uni2611,1574,2574,759
check,uni2713,1575,2575,760
eighthnote,musicalnote,1576,2576,761
lozenge,lozenge,1577,2577,762
prime,uni2032,1578,2578,763
dblprime,uni2033,1579,2579,764
commaturnedmod,uni02BB,1580,2580,765
apostrophemod,uni02BC,1581,2581,766
ringhalfleftmod,uni02BF,1582,2582,767
ringhalfrightmod,uni02BE,1583,2583,768
verticallinemod,uni02C8,1584,2584,769
macronmod,uni02C9,1585,2585,770
acutemod,uni02CA,1586,2586,771
gravemod,uni02CB,1587,2587,772
verticallinelowmod,uni02CC,1588,2588,773
grave,grave,1589,2589,774
acute,acute,1590,2590,775
circumflex,circumflex,1591,2591,776
caron,caron,1592,2592,777
tilde,tilde,1593,2593,778
dieresis,dieresis,1594,2594,779
macron,macron,1595,2595,780
breve,breve,1596,2596,781
